5466	9909	1.8017E7	0.0	1.8017E7
5907	8544	1.817E7	14348.374058208536	1.818434837405821E7
6197	7147	1.8343E7	14348.374058208536	1.835734837405821E7
7357	5971	1.8776E7	14509.179471872269	1.8790509179471873E7
7104	4970	1.9121E7	14431.744958409387	1.913543174495841E7
7028	4433	1.9225E7	14431.744958409387	1.923943174495841E7
8376	3099	1.9571E7	14389.905762554345	1.9585389905762553E7
8976	2737	1.9726E7	14389.905762554345	1.9740389905762553E7
10062	2018	2.0053E7	14574.265654273622	2.0067574265654273E7
10349	1756	2.0109E7	14574.265654273622	2.0123574265654273E7
10342	2257	2.0188E7	14574.265654273622	2.0202574265654273E7
