7024	4429	1.463E7
7024	4419	1.4631E7
5748	4336	1.4874E7
5733	4338	1.4875E7
5720	4339	1.4876E7
5710	4340	1.4877E7
4400	3685	1.5263E7
4386	3681	1.5264E7
4371	3678	1.5265E7
3256	3383	1.5406E7
3253	3382	1.5407E7
3251	3382	1.5408E7
3250	3382	1.5409E7
2250	3124	1.5624E7
2236	3120	1.5625E7
2221	3117	1.5626E7
1776	3083	1.5682E7
1761	3082	1.5683E7
1746	3082	1.5684E7
1573	3605	1.5895E7
1588	3606	1.5896E7
1602	3606	1.5897E7
2190	3526	1.5963E7
2205	3525	1.5964E7
2219	3525	1.5965E7
3537	3557	1.6197E7
3551	3562	1.6198E7
3564	3566	1.6199E7
