6270	7746	1.8236E7
6273	7732	1.8237E7
6275	7718	1.8238E7
6278	7703	1.8239E7
6194	7141	1.8338E7
6185	7129	1.8339E7
6174	7119	1.834E7
7343	5975	1.8732E7
7346	5974	1.8733E7
7347	5974	1.8734E7
7103	4969	1.9145E7
7096	4956	1.9146E7
7089	4944	1.9147E7
7083	4931	1.9148E7
7024	4427	1.9275E7
7024	4418	1.9276E7
5778	3584	1.9661E7
5764	3582	1.9662E7
5749	3580	1.9663E7
5552	3048	1.9759E7
5547	3034	1.976E7
5543	3021	1.9761E7
5537	3008	1.9762E7
6308	2513	1.9997E7
6322	2509	1.9998E7
6336	2505	1.9999E7
6350	2501	2.0E7
