2263	4337	1.82E7
2275	4345	1.8201E7
2288	4354	1.8202E7
2301	4363	1.8203E7
3124	4875	1.8319E7
3136	4885	1.832E7
3148	4895	1.8321E7
3638	5219	1.8389E7
3651	5221	1.839E7
3663	5224	1.8391E7
3676	5228	1.8392E7
4945	5077	1.8728E7
4958	5075	1.8729E7
4971	5073	1.873E7
4983	5073	1.8731E7
6228	4947	1.9001E7
6241	4951	1.9002E7
6253	4955	1.9003E7
6265	4959	1.9004E7
7028	4426	1.936E7
7027	4417	1.9361E7
7624	3758	1.9537E7
7637	3756	1.9538E7
7649	3753	1.9539E7
8375	3100	1.9647E7
8385	3093	1.9648E7
8396	3086	1.9649E7
8981	2734	1.9802E7
8992	2728	1.9803E7
9003	2722	1.9804E7
9014	2715	1.9805E7
9740	1776	1.9963E7
9752	1773	1.9964E7
9764	1768	1.9965E7
10233	1717	2.0028E7
10239	1720	2.0029E7
10242	1721	2.003E7
10243	1722	2.0031E7
10404	2265	2.0149E7
10412	2275	2.015E7
10421	2284	2.0151E7
10429	2294	2.0152E7
