7942	5684	5880000.0
7936	5670	5881000.0
7929	5655	5882000.0
7100	4962	6138000.0
7096	4956	6139000.0
7094	4952	6140000.0
7024	4427	6261000.0
7024	4416	6262000.0
7024	4408	6263000.0
6495	4957	6439000.0
6495	4969	6440000.0
6495	4977	6441000.0
6494	4983	6442000.0
6191	6180	6698000.0
6180	6179	6699000.0
6172	6178	6700000.0
6167	6178	6701000.0
5772	6289	6753000.0
5755	6299	6754000.0
5740	6309	6755000.0
5727	6318	6756000.0
6260	6390	7081000.0
6260	6387	7082000.0
6260	6385	7083000.0
6261	6385	7084000.0
