6222	5741	1904000.0
6236	5742	1905000.0
6251	5743	1906000.0
6265	5744	1907000.0
7028	4424	2391000.0
7027	4416	2392000.0
7027	4410	2393000.0
7552	4439	2915000.0
7562	4449	2916000.0
7573	4459	2917000.0
7583	4468	2918000.0
8979	3856	3133000.0
8992	3850	3134000.0
9005	3844	3135000.0
10015	3300	3302000.0
10029	3296	3303000.0
10042	3292	3304000.0
10142	3200	3339000.0
10152	3191	3340000.0
10165	3183	3341000.0
10177	3176	3342000.0
11293	3415	3491000.0
11296	3416	3492000.0
11296	3416	3493000.0
9688	4051	3823000.0
9674	4055	3824000.0
9661	4060	3825000.0
8459	4430	3991000.0
8446	4433	3992000.0
8432	4436	3993000.0
7058	4236	4425000.0
7045	4241	4426000.0
7031	4246	4427000.0
7296	4749	4532000.0
7303	4756	4533000.0
7307	4761	4534000.0
