5466	9909	1.8017E7	0.0	1.8017E7
5907	8544	1.817E7	96797.60285794413	1.8266797602857944E7
6197	7147	1.8343E7	96797.60285794413	1.8439797602857944E7
7357	5971	1.8776E7	102695.82549146592	1.8878695825491466E7
7104	4970	1.9121E7	99336.40943001994	1.922033640943002E7
7028	4433	1.9225E7	99336.40943001994	1.932433640943002E7
8376	3099	1.9571E7	98704.02924532357	1.9669704029245324E7
8976	2737	1.9726E7	98704.02924532357	1.9824704029245324E7
10062	2018	2.0053E7	106054.83620831868	2.0159054836208317E7
10349	1756	2.0109E7	106054.83620831868	2.0215054836208317E7
10342	2257	2.0188E7	106054.83620831868	2.0294054836208317E7
